[16:55:27] | Thong_Tu_200_2014_TT-BTC.pdf 🚀 Bắt đầu xử lý
[16:55:27] | Thong_Tu_200_2014_TT-BTC.pdf 📖 PDF 308 trang — bắt đầu đọc...
[16:55:40] | Thong_Tu_200_2014_TT-BTC.pdf 📖 Đọc trang 10/308...
[16:55:52] | Thong_Tu_200_2014_TT-BTC.pdf 📖 Đọc trang 20/308...
[16:56:02] | Thong_Tu_200_2014_TT-BTC.pdf 📖 Đọc trang 30/308...
[16:56:15] | Thong_Tu_200_2014_TT-BTC.pdf 📖 Đọc trang 40/308...
[16:56:28] | Thong_Tu_200_2014_TT-BTC.pdf 📖 Đọc trang 50/308...
[16:56:40] | Thong_Tu_200_2014_TT-BTC.pdf 📖 Đọc trang 60/308...
[16:56:50] | Thong_Tu_200_2014_TT-BTC.pdf 📖 Đọc trang 70/308...
[16:57:02] | Thong_Tu_200_2014_TT-BTC.pdf 📖 Đọc trang 80/308...
[16:57:14] | Thong_Tu_200_2014_TT-BTC.pdf 📖 Đọc trang 90/308...
[16:57:28] | Thong_Tu_200_2014_TT-BTC.pdf 📖 Đọc trang 100/308...
[16:57:40] | Thong_Tu_200_2014_TT-BTC.pdf 📖 Đọc trang 110/308...
[16:57:53] | Thong_Tu_200_2014_TT-BTC.pdf 📖 Đọc trang 120/308...
[16:58:05] | Thong_Tu_200_2014_TT-BTC.pdf 📖 Đọc trang 130/308...
[16:58:17] | Thong_Tu_200_2014_TT-BTC.pdf 📖 Đọc trang 140/308...
[16:58:28] | Thong_Tu_200_2014_TT-BTC.pdf 📖 Đọc trang 150/308...
[16:58:40] | Thong_Tu_200_2014_TT-BTC.pdf 📖 Đọc trang 160/308...
[16:58:53] | Thong_Tu_200_2014_TT-BTC.pdf 📖 Đọc trang 170/308...
[16:59:04] | Thong_Tu_200_2014_TT-BTC.pdf 📖 Đọc trang 180/308...
[16:59:17] | Thong_Tu_200_2014_TT-BTC.pdf 📖 Đọc trang 190/308...
[16:59:29] | Thong_Tu_200_2014_TT-BTC.pdf 📖 Đọc trang 200/308...
[16:59:43] | Thong_Tu_200_2014_TT-BTC.pdf 📖 Đọc trang 210/308...
[16:59:55] | Thong_Tu_200_2014_TT-BTC.pdf 📖 Đọc trang 220/308...
[17:00:08] | Thong_Tu_200_2014_TT-BTC.pdf 📖 Đọc trang 230/308...
[17:00:19] | Thong_Tu_200_2014_TT-BTC.pdf 📖 Đọc trang 240/308...
[17:00:31] | Thong_Tu_200_2014_TT-BTC.pdf 📖 Đọc trang 250/308...
[17:00:42] | Thong_Tu_200_2014_TT-BTC.pdf 📖 Đọc trang 260/308...
[17:00:57] | Thong_Tu_200_2014_TT-BTC.pdf 📖 Đọc trang 270/308...
[17:01:15] | Thong_Tu_200_2014_TT-BTC.pdf 📖 Đọc trang 280/308...
[17:01:30] | Thong_Tu_200_2014_TT-BTC.pdf 📖 Đọc trang 290/308...
[17:01:46] | Thong_Tu_200_2014_TT-BTC.pdf 📖 Đọc trang 300/308...
[17:01:56] | Thong_Tu_200_2014_TT-BTC.pdf 📄 Đọc xong: 308 trang có text
[17:01:57] | Thong_Tu_200_2014_TT-BTC.pdf ✂️  Chia được 1244 chunks — bắt đầu embed...
[17:01:57] | Thong_Tu_200_2014_TT-BTC.pdf 📥 32/1244 chunks (2%)
[17:01:57] | Thong_Tu_200_2014_TT-BTC.pdf 📥 64/1244 chunks (5%)
[17:01:57] | Thong_Tu_200_2014_TT-BTC.pdf 📥 96/1244 chunks (7%)
